"date","minimum","local"
"2021-12-28",5.1235294342,"Celoirico de Basto"
"2021-12-27",10.3486204147,"Terras de Bouro"
"2021-12-26",9.16215896606,"Terras de Bouro"
"2021-12-25",8.60216522217,"Terras de Bouro"
"2021-12-24",6.80002498627,"Cabeceiras de Basto"
"2021-12-23",7.70001888275,"Cabeceiras de Basto"
"2021-12-22",9.9525308609,"Terras de Bouro"
"2021-12-21",9.02035427094,"Cabeceiras de Basto"
"2021-12-20",7.70094108582,"Celoirico de Basto"
"2021-12-19",1.40000724792,"Braga"
"2021-12-18",-0.699944317341,"Cabeceiras de Basto"
